"search_name","candidate_status","kbo_player_id","name","team_id","team_name","position_name","bats_throws","profile_link","source_url"
"김범준","now","50710","김범준","HH","한화","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=50710","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김병준","now","52002","김병준","SM","상무","외야수","우투좌타","/Futures/Player/HitterDetail.aspx?playerId=52002","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김병준","retire","99742","김병준","HH","한화","투수","우투우타","/Record/Retire/Pitcher.aspx?playerId=99742","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김병휘","now","50304","김병휘","WO","키움","내야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=50304","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김사윤","now","63894","김사윤","HT","KIA","투수","좌투좌타","/Record/Player/PitcherDetail/Basic.aspx?playerId=63894","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김상수","now","79402","김상수","KT","KT","내야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=79402","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김서준","now","52460","김서준","SS","삼성","투수","우투우타","/Futures/Player/PitcherDetail.aspx?playerId=52460","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김서준","now","55359","김서준","WO","키움","투수","우투좌타","/Record/Player/PitcherDetail/Basic.aspx?playerId=55359","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김서현","now","53754","김서현","HH","한화","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=53754","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김석환","now","67610","김석환","HT","KIA","외야수","좌투좌타","/Record/Player/HitterDetail/Basic.aspx?playerId=67610","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김선기","now","66018","김선기","WO","키움","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=66018","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김선빈","now","78603","김선빈","HT","KIA","내야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=78603","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성민","now","50848","김성민","SK","SSG","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=50848","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성민","now","67828","김성민","WO","키움","투수","좌투좌타","/Record/Player/PitcherDetail/Basic.aspx?playerId=67828","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성민","retire","66627","김성민","HT","KIA","내야수","우투우타","/Record/Retire/Hitter.aspx?playerId=66627","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성민","retire","69860","김성민","SK","SK","내야수","우투우타","/Record/Retire/Hitter.aspx?playerId=69860","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성우","now","52105","김성우","SM","상무","포수","우투우타","/Futures/Player/HitterDetail.aspx?playerId=52105","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성욱","now","62934","김성욱","SK","SSG","외야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=62934","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성윤","now","67449","김성윤","SS","삼성","외야수","좌투좌타","/Record/Player/HitterDetail/Basic.aspx?playerId=67449","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성윤","retire","64023","김성윤","KT","KT","외야수","좌투좌타","/Record/Retire/Hitter.aspx?playerId=64023","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성재","now","55216","김성재","OB","두산","포수","우투우타","/Futures/Player/HitterDetail.aspx?playerId=55216","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성재","retire","90414","김성재","LG","LG","내야수","우투우타","/Record/Retire/Hitter.aspx?playerId=90414","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성재","retire","66565","김성재","LT","롯데","투수","좌투좌타","/Record/Retire/Pitcher.aspx?playerId=66565","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성진","now","69105","김성진","LG","LG","내야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=69105","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성진","now","51301","김성진","WO","키움","투수","우투좌타","/Record/Player/PitcherDetail/Basic.aspx?playerId=51301","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성진","retire","63358","김성진","WO","화성","투수","우투우타","/Record/Retire/Pitcher.aspx?playerId=63358","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성현","now","76802","김성현","SK","SSG","내야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=76802","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성현","retire","78353","김성현","LG","LG","투수","우투우타","/Record/Retire/Pitcher.aspx?playerId=78353","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김성현","retire","66397","김성현","WO","넥센","내야수","우투우타","/Record/Retire/Hitter.aspx?playerId=66397","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김세민","now","52514","김세민","LT","롯데","내야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=52514","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김세민","now","51409","김세민","UL","울산","투수","우투우타","/Futures/Player/PitcherDetail.aspx?playerId=51409","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
